ecosystem,source_id,source_name,title,url,published,cves,severity_guess,risk_score_guess,summary
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.35: Fine-grained Supplemental Groups Control Graduates to GA,https://kubernetes.io/blog/2025/12/23/kubernetes-v1-35-fine-grained-supplementalgroups-control-ga/,2025-12-23,,CRITICAL,3.0,"Kubernetes v1.35: Fine-grained Supplemental Groups Control Graduates to GA <p>On behalf of Kubernetes SIG Node, we are pleased to announce the graduation of <em>fine-grained supplemental groups control</em> to General Availability (GA) in Kubernetes v1.35!</p> <p>The new Pod field, <code>supplementalGroupsPolicy</code>, was introduced as an opt-in alpha feature for Kubernetes v1.31, and then had graduated to beta in v1.33. Now, the feature is generally available."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Introducing CPU Manager Static Policy Option for Uncore Cache Alignment,https://kubernetes.io/blog/2025/09/02/kubernetes-v1-34-prefer-align-by-uncore-cache-cpumanager-static-policy-optimization/,2025-09-02,,CRITICAL,3.0,"Kubernetes v1.34: Introducing CPU Manager Static Policy Option for Uncore Cache Alignment <p>A new CPU Manager Static Policy Option called <code>prefer-align-cpus-by-uncorecache</code> was introduced in Kubernetes v1.32 as an alpha feature, and has graduated to <strong>beta</strong> in Kubernetes v1.34. This CPU Manager Policy Option is designed to optimize performance for specific workloads running on processors with a <em>split uncore cache</em> architecture."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Service Account Token Integration for Image Pulls Graduates to Beta,https://kubernetes.io/blog/2025/09/03/kubernetes-v1-34-sa-tokens-image-pulls-beta/,2025-09-03,,CRITICAL,3.0,"Kubernetes v1.34: Service Account Token Integration for Image Pulls Graduates to Beta <p>The Kubernetes community continues to advance security best practices by reducing reliance on long-lived credentials. Following the successful <a href=""https://kubernetes.io/blog/2025/05/07/kubernetes-v1-33-wi-for-image-pulls/"">alpha release in Kubernetes v1.33</a>, <em>Service Account Token Integration for Kubelet Credential Providers</em> has now graduated to <strong>beta</strong> in Kubernetes v1.34, bringing us closer to eliminating long-lived image pull secrets from Kubernetes clusters.</p> <p>This enhancement allows credential providers to use workload-specific service account tokens to obtain registry credentials, providing a secure, ephemeral alternative to traditional image pull secrets.</p> <h2 id=""what-s-new-in-beta"">What's new in beta?</h2> <p>The beta graduation brings several important changes that make the feature more robust and production-ready:</p> <h3 id=""required-cachetype-field"">Required <code>cacheType</code> field</h3> <p><strong>Breaking change from alpha</strong>: The <code>cacheType</code> field is <strong>required</strong> in the credential provider configuration when using service account tokens."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.35: Job Managed By Goes GA,https://kubernetes.io/blog/2025/12/18/kubernetes-v1-35-job-managedby-for-jobs-goes-ga/,2025-12-18,,CRITICAL,2.0,"Kubernetes v1.35: Job Managed By Goes GA <p>In Kubernetes v1.35, the ability to specify an external Job controller (through <code>.spec.managedBy</code>) graduates to General Availability.</p> <p>This feature allows external controllers to take full responsibility for Job reconciliation, unlocking powerful scheduling patterns like multi-cluster dispatching with <a href=""https://kueue.sigs.k8s.io/docs/concepts/multikueue/"">MultiKueue</a>.</p> <h2 id=""why-delegate-job-reconciliation"">Why delegate Job reconciliation?</h2> <p>The primary motivation for this feature is to support multi-cluster batch scheduling architectures, such as MultiKueue.</p> <p>The MultiKueue architecture distinguishes between a Management Cluster and a pool of Worker Clusters:</p> <ul> <li>The Management Cluster is responsible for dispatching Jobs but not executing them. It needs to accept Job objects to track status, but it skips the creation and execution of Pods.</li> <li>The Worker Clusters receive the dispatched Jobs and execute the actual Pods.</li> <li>Users usually interact with the Management Cluster."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.33: Job's Backoff Limit Per Index Goes GA,https://kubernetes.io/blog/2025/05/13/kubernetes-v1-33-jobs-backoff-limit-per-index-goes-ga/,2025-05-13,,HIGH,1.5,"Kubernetes v1.33: Job's Backoff Limit Per Index Goes GA <p>In Kubernetes v1.33, the <em>Backoff Limit Per Index</em> feature reaches general availability (GA). This blog describes the Backoff Limit Per Index feature and its benefits.</p> <h2 id=""about-backoff-limit-per-index"">About backoff limit per index</h2> <p>When you run workloads on Kubernetes, you must consider scenarios where Pod failures can affect the completion of your workloads."
Kubernetes,cncf_blog,CNCF Blog,KubeVirt undergoes OSTIF security audit,https://www.cncf.io/blog/2025/12/17/kubevirt-undergoes-ostif-security-audit/,2025-12-17,,CRITICAL,1.5,"KubeVirt undergoes OSTIF security audit The Open Source Technology Improvement Fund (OSTIF) is proud to share the results of a recent security audit of KubeVirt, a Kubernetes virtualization API and runtime for managing virtual machines. With the continued support of Quarkslab..."
Docker,docker_blog,Docker Blog,Highlights from AWS re:Invent: Supercharging Kiro with Docker Sandboxes and MCP Catalog,https://www.docker.com/blog/aws-reinvent-kiro-docker-sandboxes-mcp-catalog/,2025-12-12,,HIGH,1.5,"Highlights from AWS re:Invent: Supercharging Kiro with Docker Sandboxes and MCP Catalog At the recent AWS re:Invent, Docker focused on a very real developer problem: how to run AI agents locally without giving them access to your machine, credentials, or filesystem. With AWS introducing Kiro, Docker demonstrated how Docker Sandboxes and MCP Toolkit allow developers to run agents inside isolated containers, keeping host environments and secrets out... Fri, 12 Dec 2025 20:22:05 +0000"
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes 1.33: Job's SuccessPolicy Goes GA,https://kubernetes.io/blog/2025/05/15/kubernetes-1-33-jobs-success-policy-goes-ga/,2025-05-15,,HIGH,1.5,"Kubernetes 1.33: Job's SuccessPolicy Goes GA <p>On behalf of the Kubernetes project, I'm pleased to announce that Job <em>success policy</em> has graduated to General Availability (GA) as part of the v1.33 release.</p> <h2 id=""about-job-s-success-policy"">About Job's Success Policy</h2> <p>In batch workloads, you might want to use leader-follower patterns like <a href=""https://en.wikipedia.org/wiki/Message_Passing_Interface"">MPI</a>, in which the leader controls the execution, including the followers' lifecycle.</p> <p>In this case, you might want to mark it as succeeded even if some of the indexes failed. Unfortunately, a leader-follower Kubernetes Job that didn't use a success policy, in most cases, would have to require <strong>all</strong> Pods to finish successfully for that Job to reach an overall succeeded state.</p> <p>For Kubernetes Jobs, the API allows you to specify the early exit criteria using the <code>.spec.successPolicy</code> field (you can only use the <code>.spec.successPolicy</code> field for an <a href=""https://kubernetes.io/docs/concept/workloads/controllers/job/#completion-mode"">indexed Job</a>)."
,cncf_blog,CNCF Blog,"Kyverno at ContribFest: Community, collaboration, and the power of open source in action",https://www.cncf.io/blog/2025/12/23/kyverno-at-contribfest-community-collaboration-and-the-power-of-open-source-in-action/,2025-12-23,,CRITICAL,1.5,"Kyverno at ContribFest: Community, collaboration, and the power of open source in action A few weeks ago at KubeCon + CloudNativeCon North America in Atlanta, the Kyverno community had the opportunity to participate in ContribFest, one of the most energizing and community-driven initiatives in the cloud-native ecosystem. While ContribFest... Tue, 23 Dec 2025 12:00:00 +0000"
,cncf_blog,CNCF Blog,Bringing sustainability back into the conversation: CNCF Cloud Native Sustainability Month Tokyo,https://www.cncf.io/blog/2025/12/24/bringing-sustainability-back-into-the-conversation-cncf-cloud-native-sustainability-month-tokyo/,2025-12-24,,CRITICAL,1.5,"Bringing sustainability back into the conversation: CNCF Cloud Native Sustainability Month Tokyo It’s undeniable that AI is a breakthrough technology that no one wants to be left behind on. However, as AI accelerates innovation in the cloud-native world, environmental sustainability often gets sidelined, perceived as something that could..."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Mutable CSI Node Allocatable Graduates to Beta,https://kubernetes.io/blog/2025/09/11/kubernetes-v1-34-mutable-csi-node-allocatable-count/,2025-09-11,,CRITICAL,1.5,"Kubernetes v1.34: Mutable CSI Node Allocatable Graduates to Beta <p>The <a href=""https://kep.k8s.io/4876"">functionality for CSI drivers to update information about attachable volume count on the nodes</a>, first introduced as Alpha in Kubernetes v1.33, has graduated to <strong>Beta</strong> in the Kubernetes v1.34 release! This marks a significant milestone in enhancing the accuracy of stateful pod scheduling by reducing failures due to outdated attachable volume capacity information.</p> <h2 id=""background"">Background</h2> <p>Traditionally, Kubernetes <a href=""https://kubernetes-csi.github.io/docs/introduction.html"">CSI drivers</a> report a static maximum volume attachment limit when initializing."
Kubernetes,k8s_blog,Kubernetes Blog,Avoiding Zombie Cluster Members When Upgrading to etcd v3.6,https://kubernetes.io/blog/2025/12/21/preventing-etcd-zombies/,2025-12-21,,CRITICAL,1.5,"Avoiding Zombie Cluster Members When Upgrading to etcd v3.6 <p><em>This article is a mirror of an <a href=""https://etcd.io/blog/2025/zombie_members_upgrade/"">original</a> that was recently published to the official etcd blog</em>. The <a href=""https://etcd.io/blog/2025/zombie_members_upgrade/#key-takeaway"">key takeaway</a>?"
Docker,docker_security,Docker Security Announcements,Security | Docker Docs,https://docs.docker.com/engine/security/,,,CRITICAL,1.5,Security | Docker Docs Security | Docker Docs Get started Guides Manuals Reference Ask AI Start typing to search or try Ask AI . Back Manuals Get started Guides Reference Open source Docker Engine Install Ubuntu Debian RHEL Fedora Raspberry Pi OS (32-bit / armhf) CentOS SLES (s390x) Binaries Post-installation steps Storage Volumes Bind mounts tmpfs mounts Storage drivers Select a storage driver BTRFS storage driver Device Mapper storage driver (deprecated) OverlayFS storage driver VFS storage driver windowsfilter storage driver ZFS storage driver containerd image store Networking Docker with iptables Docker with nftables Packet filtering and firewalls Port publishing and mapping Network drivers Bridge network driver Host network driver IPvlan network driver Macvlan network driver None network driver Overlay network driver CA certificates Legacy container links Containers Start containers automatically Run multiple processes in a container Resource constraints Runtime metrics Running containers CLI Completion Proxy configuration Filter commands Format command and log output OpenTelemetry for the Docker CLI Daemon Start the daemon Use IPv6 networking Daemon proxy configuration Live restore Alternative container runtimes Collect Docker metrics with Prometheus Configure remote access for Docker daemon Read the daemon logs Troubleshooting the Docker daemon Manage resources Docker contexts Docker object labels Prune unused Docker objects Logs and metrics Configure logging drivers Customize log driver output Logging drivers Amazon CloudWatch Logs logging driver ETW logging driver Fluentd logging driver Google Cloud Logging driver Graylog Extended Format logging driver Journald logging driver JSON File logging driver Local file logging driver Splunk logging driver Syslog logging driver Use a logging driver plugin Use docker logs with remote logging drivers Security Rootless mode Tips Troubleshooting Antivirus software and Docker AppArmor security profiles for Docker Content trust in Docker Automation with content trust Delegations for content trust Deploy Notary Server with Compose Manage keys for content trust Play in a content trust sandbox Docker security non-events Isolate containers with a user namespace Protect the Docker daemon socket Seccomp security profiles for Docker Verify repository client with certificates Swarm mode Administer and maintain a swarm of Docker Engines Deploy a stack to a swarm Deploy services to a swarm Getting started with Swarm mode Create a swarm Add nodes to the swarm Deploy a service to the swarm Inspect a service on the swarm Scale the service in the swarm Delete the service running on the swarm Apply rolling updates to a service Drain a node on the swarm How swarm works How nodes work How services work Manage swarm security with public key infrastructure (PKI) Swarm task states Join nodes to a swarm Lock your swarm to protect its encryption key Manage nodes in a swarm Manage sensitive data with Docker secrets Manage swarm service networks Raft consensus in swarm mode Run Docker Engine in swarm mode Store configuration data using Docker Configs Swarm mode key concepts Use Swarm mode routing mesh Deprecated features Docker Engine plugins Access authorization plugin Docker log driver plugins Docker network driver plugins Docker Plugin API Docker volume plugins Plugin Config Version 1 of Plugin V2 Use Docker Engine plugins Release notes Engine v29 Engine v28 Engine v27 Engine v26.1 Engine v26.0 Engine v25.0 Engine v24.0 Engine v23.0 Engine v20.10 Engine v19.03 Engine v18.09 Engine v18.06 Engine v18.05 Engine v18.04 Engine v18.03 Engine v18.02 Engine v18.01 Engine v17.12 Engine v17.11 Engine v17.10 Engine v17.09 Engine v17.07 Engine v17.06 Engine v17.05 Engine v17.04 Engine v17.03 Prior releases Docker Build Core concepts Docker Build Overview Dockerfile overview Build context Building Multi-stage Variables Secrets Multi-platform Export binaries Container Device Interface (CDI) Best practices Base images Build checks New Build
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Autoconfiguration for Node Cgroup Driver Goes GA,https://kubernetes.io/blog/2025/09/12/kubernetes-v1-34-cri-cgroup-driver-lookup-now-ga/,2025-09-12,,CRITICAL,1.5,"Kubernetes v1.34: Autoconfiguration for Node Cgroup Driver Goes GA <p>Historically, configuring the correct cgroup driver has been a pain point for users running new Kubernetes clusters. On Linux systems, there are two different cgroup drivers: <code>cgroupfs</code> and <code>systemd</code>."
Kubernetes,k8s_blog,Kubernetes Blog,Changes to Kubernetes Slack,https://kubernetes.io/blog/2025/06/16/changes-to-kubernetes-slack/,2025-06-16,,CRITICAL,1.5,"Changes to Kubernetes Slack <p><strong>UPDATE</strong>: We’ve received notice from Salesforce that our Slack workspace <strong>WILL NOT BE DOWNGRADED</strong> on June 20th. Stand by for more details, but for now, there is no urgency to back up private channels or direct messages.</p> <p><del>Kubernetes Slack will lose its special status and will be changing into a standard free Slack on June 20, 2025</del>."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Use An Init Container To Define App Environment Variables,https://kubernetes.io/blog/2025/09/10/kubernetes-v1-34-env-files/,2025-09-10,,HIGH,1.5,"Kubernetes v1.34: Use An Init Container To Define App Environment Variables <p>Kubernetes typically uses ConfigMaps and Secrets to set environment variables, which introduces additional API calls and complexity, For example, you need to separately manage the Pods of your workloads and their configurations, while ensuring orderly updates for both the configurations and the workload Pods.</p> <p>Alternatively, you might be using a vendor-supplied container that requires environment variables (such as a license key or a one-time token), but you don’t want to hard-code them or mount volumes just to get the job done.</p> <p>If that's the situation you are in, you now have a new (alpha) way to achieve that. Provided you have the <code>EnvFiles</code> <a href=""https://kubernetes.io/docs/reference/command-line-tools-reference/feature-gates/"">feature gate</a> enabled across your cluster, you can tell the kubelet to load a container's environment variables from a volume (the volume must be part of the Pod that the container belongs to)."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Pod Replacement Policy for Jobs Goes GA,https://kubernetes.io/blog/2025/09/05/kubernetes-v1-34-pod-replacement-policy-for-jobs-goes-ga/,2025-09-05,,HIGH,1.5,"Kubernetes v1.34: Pod Replacement Policy for Jobs Goes GA <p>In Kubernetes v1.34, the <em>Pod replacement policy</em> feature has reached general availability (GA). This blog post describes the Pod replacement policy feature and how to use it in your Jobs.</p> <h2 id=""about-pod-replacement-policy"">About Pod Replacement Policy</h2> <p>By default, the Job controller immediately recreates Pods as soon as they fail or begin terminating (when they have a deletion timestamp).</p> <p>As a result, while some Pods are terminating, the total number of running Pods for a Job can temporarily exceed the specified parallelism."
,cncf_blog,CNCF Blog,Optimizing Kyverno CLI performance: My LFX mentorship journey,https://www.cncf.io/blog/2025/12/10/optimizing-kyverno-cli-performance-my-lfx-mentorship-journey/,2025-12-10,,CRITICAL,1.5,"Optimizing Kyverno CLI performance: My LFX mentorship journey Why Open Source? While exploring CNCF Projects in early 2025, I stumbled upon Kyverno and its community impressed me."
Kubernetes,cncf_blog,CNCF Blog,Kubernetes Security: 2025 Stable Features and 2026 preview,https://www.cncf.io/blog/2025/12/15/kubernetes-security-2025-stable-features-and-2026-preview/,2025-12-15,,HIGH,1.5,"Kubernetes Security: 2025 Stable Features and 2026 preview It’s time to recap the key Kubernetes security highlights from 2025 and outline features likely to graduate to stable in early 2026. From a DevSecOps perspective, 2025 brought several meaningful security improvements that directly influenced day-2... Mon, 15 Dec 2025 21:44:01 +0000"
Kubernetes,k8s_blog,Kubernetes Blog,Introducing Headlamp AI Assistant,https://kubernetes.io/blog/2025/08/07/introducing-headlamp-ai-assistant/,2025-08-07,,HIGH,1.5,"Introducing Headlamp AI Assistant <p><em>This announcement originally <a href=""https://headlamp.dev/blog/2025/08/07/introducing-the-headlamp-ai-assistant"">appeared</a> on the Headlamp blog.</em></p> <p>To simplify Kubernetes management and troubleshooting, we're thrilled to introduce <a href=""https://github.com/headlamp-k8s/plugins/tree/main/ai-assistant#readme"">Headlamp AI Assistant</a>: a powerful new plugin for Headlamp that helps you understand and operate your Kubernetes clusters and applications with greater clarity and ease.</p> <p>Whether you're a seasoned engineer or just getting started, the AI Assistant offers:</p> <ul> <li><strong>Fast time to value:</strong> Ask questions like <em>&quot;Is my application healthy?&quot;</em> or <em>&quot;How can I fix this?&quot;</em> without needing deep Kubernetes knowledge.</li> <li><strong>Deep insights:</strong> Start with high-level queries and dig deeper with prompts like <em>&quot;List all the problematic pods&quot;</em> or <em>&quot;How can I fix this pod?&quot;</em></li> <li><strong>Focused &amp; relevant:</strong> Ask questions in the context of what you're viewing in the UI, such as <em>&quot;What's wrong here?&quot;</em></li> <li><strong>Action-oriented:</strong> Let the AI take action for you, like <em>&quot;Restart that deployment&quot;</em>, with your permission.</li> </ul> <p>Here is a demo of the AI Assistant in action as it helps troubleshoot an application running with issues in a Kubernetes cluster:</p> <div class=""youtube-quote-sm""> <iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""allowfullscreen"" loading=""eager"" referrerpolicy=""strict-origin-when-cross-origin"" src=""https://www.youtube.com/embed/GzXkUuCTcd4?autoplay=0&controls=1&end=0&loop=0&mute=0&start=0"" title=""Headlamp AI Assistant"" ></iframe> </div> <h2 id=""hopping-on-the-ai-train"">Hopping on the AI train</h2> <p>Large Language Models (LLMs) have transformed not just how we access data but also how we interact with it. The rise of tools like ChatGPT opened a world of possibilities, inspiring a wave of new applications."
Kubernetes,k8s_blog,Kubernetes Blog,Post-Quantum Cryptography in Kubernetes,https://kubernetes.io/blog/2025/07/18/pqc-in-k8s/,2025-07-18,,HIGH,1.5,"Post-Quantum Cryptography in Kubernetes <p>The world of cryptography is on the cusp of a major shift with the advent of quantum computing. While powerful quantum computers are still largely theoretical for many applications, their potential to break current cryptographic standards is a serious concern, especially for long-lived systems."
Docker,docker_blog,Docker Blog,From the Captain’s Chair: Igor Aleksandrov,https://www.docker.com/blog/from-the-captains-chair-igor-aleksandrov/,2025-12-19,,UNKNOWN,0.0,From the Captain’s Chair: Igor Aleksandrov Docker Captains are leaders from the developer community that are both experts in their field and are passionate about sharing their Docker knowledge with others. “From the Captain’s Chair” is a blog series where we get a closer look at one Captain to learn more about them and their experiences.
Docker,docker_blog,Docker Blog,Develop and deploy voice AI apps using Docker,https://www.docker.com/blog/develop-deploy-voice-ai-apps/,2025-12-16,,UNKNOWN,0.0,Develop and deploy voice AI apps using Docker Voice is the next frontier of conversational AI. It is the most natural modality for people to chat and interact with another intelligent being.
Docker,docker_blog,Docker Blog,A Safer Container Ecosystem with Docker: Free Docker Hardened Images,https://www.docker.com/blog/docker-hardened-images-for-every-developer/,2025-12-17,,LOW,0.0,"A Safer Container Ecosystem with Docker: Free Docker Hardened Images Containers are the universal path to production for most developers, and Docker has always been the steward of the ecosystem. Docker Hub has over 20 billion monthly pulls, with nearly 90% of organizations now relying on containers in their software delivery workflows."
Docker,docker_blog,Docker Blog,Docker Hardened Images: Security Independently Validated by SRLabs,https://www.docker.com/blog/docker-hardened-images-security-independently-validated-by-srlabs/,2025-12-19,,UNKNOWN,0.0,"Docker Hardened Images: Security Independently Validated by SRLabs Earlier this week, we took a major step forward for the industry. Docker Hardened Images (DHI) is now available at no cost, bringing secure-by-default development to every team, everywhere."
Docker,docker_blog,Docker Blog,Docker Model Runner now included with the Universal Blue family,https://www.docker.com/blog/docker-model-runner-universal-blue/,2025-12-16,,UNKNOWN,0.0,"Docker Model Runner now included with the Universal Blue family Running large language models (LLMs) and other generative AI models can be a complex, frustrating process of managing dependencies, drivers, and environments. At Docker, we believe this should be as simple as docker model run."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Moving Volume Group Snapshots to v1beta2,https://kubernetes.io/blog/2025/09/16/kubernetes-v1-34-volume-group-snapshot-beta-2/,2025-09-16,,LOW,0.0,"Kubernetes v1.34: Moving Volume Group Snapshots to v1beta2 <p>Volume group snapshots were <a href=""https://kubernetes.io/blog/2023/05/08/kubernetes-1-27-volume-group-snapshot-alpha/"">introduced</a> as an Alpha feature with the Kubernetes 1.27 release and moved to <a href=""https://kubernetes.io/blog/2024/12/18/kubernetes-1-32-volume-group-snapshot-beta/"">Beta</a> in the Kubernetes 1.32 release. The recent release of Kubernetes v1.34 moved that support to a second beta."
Kubernetes,k8s_blog,Kubernetes Blog,Kubernetes v1.34: Decoupled Taint Manager Is Now Stable,https://kubernetes.io/blog/2025/09/15/kubernetes-v1-34-decoupled-taint-manager-is-now-stable/,2025-09-15,,UNKNOWN,0.0,"Kubernetes v1.34: Decoupled Taint Manager Is Now Stable <p>This enhancement separates the responsibility of managing node lifecycle and pod eviction into two distinct components. Previously, the node lifecycle controller handled both marking nodes as unhealthy with NoExecute taints and evicting pods from them."
Kubernetes,k8s_blog,Kubernetes Blog,Ingress NGINX Retirement: What You Need to Know,https://kubernetes.io/blog/2025/11/11/ingress-nginx-retirement/,2025-11-11,,UNKNOWN,0.0,"Ingress NGINX Retirement: What You Need to Know <p>To prioritize the safety and security of the ecosystem, Kubernetes SIG Network and the Security Response Committee are announcing the upcoming retirement of <a href=""https://github.com/kubernetes/ingress-nginx/"">Ingress NGINX</a>. Best-effort maintenance will continue until March 2026."
Docker,docker_blog,Docker Blog,How to Add MCP Servers to ChatGPT with Docker MCP Toolkit,https://www.docker.com/blog/add-mcp-server-to-chatgpt/,2025-12-12,,UNKNOWN,0.0,"How to Add MCP Servers to ChatGPT with Docker MCP Toolkit ChatGPT is great at answering questions and generating code. But here's what it can't do: execute that code, query your actual database, create a GitHub repo with your project, or scrape live data from websites."
,docker_blog,Docker Blog,Is AI the New Insider Threat?,https://www.docker.com/blog/ai-insider-threat-shadow-ai-risk-controls/,2025-12-12,,UNKNOWN,0.0,Is AI the New Insider Threat? Insider threats have always been difficult to manage because they blur the line between trusted access and risky behavior.
Kubernetes,k8s_blog,Kubernetes Blog,Announcing the 2025 Steering Committee Election Results,https://kubernetes.io/blog/2025/11/09/steering-committee-results-2025/,2025-11-09,,LOW,0.0,"Announcing the 2025 Steering Committee Election Results <p>The <a href=""https://github.com/kubernetes/community/tree/master/elections/steering/2025"">2025 Steering Committee Election</a> is now complete. The Kubernetes Steering Committee consists of 7 seats, 4 of which were up for election in 2025."
Docker,cncf_blog,CNCF Blog,The mentorship flywheel: How CNCF is growing the next generation of cloud native leaders,https://www.cncf.io/blog/2025/12/18/the-mentorship-flywheel-how-cncf-is-growing-the-next-generation-of-cloud-native-leaders/,2025-12-18,,UNKNOWN,0.0,"The mentorship flywheel: How CNCF is growing the next generation of cloud native leaders A record year for mentorship, 187 graduates contributing to the ecosystem, and one engineer&#8217;s journey from &#8220;I didn&#8217;t know about Docker&#8221; to Kyverno maintainer. In 2025, the CNCF mentorship programs hit a milestone: 187 successful mentorship... Thu, 18 Dec 2025 19:49:40 +0000"
